"","date","site_name","valid_hours_count","invalid_hours_count","PM25","AQI","AQI_value"
"1",2024-01-01,"Nome",0,24,NA,NA,NA
"2",2024-01-02,"Nome",0,24,NA,NA,NA
"3",2024-01-03,"Nome",0,24,NA,NA,NA
"4",2024-01-04,"Nome",0,24,NA,NA,NA
"5",2024-01-05,"Nome",0,24,NA,NA,NA
"6",2024-01-06,"Nome",0,24,NA,NA,NA
"7",2024-01-07,"Nome",0,24,NA,NA,NA
"8",2024-01-08,"Nome",0,24,NA,NA,NA
"9",2024-01-09,"Nome",0,24,NA,NA,NA
"10",2024-01-10,"Nome",0,24,NA,NA,NA
"11",2024-01-11,"Nome",0,24,NA,NA,NA
"12",2024-01-12,"Nome",0,24,NA,NA,NA
"13",2024-01-13,"Nome",0,24,NA,NA,NA
"14",2024-01-14,"Nome",0,24,NA,NA,NA
"15",2024-01-15,"Nome",0,24,NA,NA,NA
"16",2024-01-16,"Nome",0,24,NA,NA,NA
"17",2024-01-17,"Nome",0,24,NA,NA,NA
"18",2024-01-18,"Nome",0,24,NA,NA,NA
"19",2024-01-19,"Nome",0,24,NA,NA,NA
"20",2024-01-20,"Nome",0,24,NA,NA,NA
"21",2024-01-21,"Nome",0,24,NA,NA,NA
"22",2024-01-22,"Nome",0,24,NA,NA,NA
"23",2024-01-23,"Nome",0,24,NA,NA,NA
"24",2024-01-24,"Nome",0,24,NA,NA,NA
"25",2024-01-25,"Nome",0,24,NA,NA,NA
"26",2024-01-26,"Nome",0,24,NA,NA,NA
"27",2024-01-27,"Nome",0,24,NA,NA,NA
"28",2024-01-28,"Nome",0,24,NA,NA,NA
"29",2024-01-29,"Nome",0,24,NA,NA,NA
"30",2024-01-30,"Nome",0,24,NA,NA,NA
"31",2024-01-31,"Nome",0,24,NA,NA,NA
"32",2024-02-01,"Nome",0,24,NA,NA,NA
"33",2024-02-02,"Nome",0,24,NA,NA,NA
"34",2024-02-03,"Nome",0,24,NA,NA,NA
"35",2024-02-04,"Nome",0,24,NA,NA,NA
"36",2024-02-05,"Nome",0,24,NA,NA,NA
"37",2024-02-06,"Nome",0,24,NA,NA,NA
"38",2024-02-07,"Nome",0,24,NA,NA,NA
"39",2024-02-08,"Nome",0,24,NA,NA,NA
"40",2024-02-09,"Nome",0,24,NA,NA,NA
"41",2024-02-10,"Nome",0,24,NA,NA,NA
"42",2024-02-11,"Nome",0,24,NA,NA,NA
"43",2024-02-12,"Nome",0,24,NA,NA,NA
"44",2024-02-13,"Nome",0,24,NA,NA,NA
"45",2024-02-14,"Nome",0,24,NA,NA,NA
"46",2024-02-15,"Nome",0,24,NA,NA,NA
"47",2024-02-16,"Nome",0,24,NA,NA,NA
"48",2024-02-17,"Nome",0,24,NA,NA,NA
"49",2024-02-18,"Nome",0,24,NA,NA,NA
"50",2024-02-19,"Nome",0,24,NA,NA,NA
"51",2024-02-20,"Nome",0,24,NA,NA,NA
"52",2024-02-21,"Nome",0,24,NA,NA,NA
"53",2024-02-22,"Nome",0,24,NA,NA,NA
"54",2024-02-23,"Nome",0,24,NA,NA,NA
"55",2024-02-24,"Nome",0,24,NA,NA,NA
"56",2024-02-25,"Nome",0,24,NA,NA,NA
"57",2024-02-26,"Nome",0,24,NA,NA,NA
"58",2024-02-27,"Nome",0,24,NA,NA,NA
"59",2024-02-28,"Nome",0,24,NA,NA,NA
"60",2024-02-29,"Nome",0,24,NA,NA,NA
"61",2024-03-01,"Nome",0,24,NA,NA,NA
"62",2024-03-02,"Nome",0,24,NA,NA,NA
"63",2024-03-03,"Nome",0,24,NA,NA,NA
